Mask_Name,Cup_Area,Disc_Area,CDR
g0001.bmp,36895,88718,0.4159
g0002.bmp,51962,75225,0.6908
g0003.bmp,35510,58533,0.6067
g0004.bmp,22701,51142,0.4439
g0005.bmp,18756,83959,0.2234
g0006.bmp,37708,78981,0.4774
g0007.bmp,54780,84767,0.6462
g0008.bmp,21726,89782,0.242
g0009.bmp,17378,66022,0.2632
g0010.bmp,31493,71133,0.4427
g0011.bmp,35371,76672,0.4613
g0012.bmp,17227,59047,0.2918
g0013.bmp,19492,59076,0.3299
g0014.bmp,56774,87919,0.6458
g0015.bmp,22744,98402,0.2311
g0016.bmp,31297,66324,0.4719
g0017.bmp,32107,65587,0.4895
g0018.bmp,49343,67200,0.7343
g0019.bmp,31590,71968,0.4389
g0020.bmp,17391,51331,0.3388
g0021.bmp,18788,56372,0.3333
g0022.bmp,36472,98326,0.3709
g0023.bmp,30170,99637,0.3028
g0024.bmp,38282,78716,0.4863
g0025.bmp,54164,93846,0.5772
g0026.bmp,51263,83100,0.6169
g0027.bmp,24063,78179,0.3078
g0028.bmp,37069,59315,0.625
g0029.bmp,22524,62447,0.3607
g0030.bmp,36751,70484,0.5214
g0031.bmp,42728,64299,0.6645
g0032.bmp,26358,79246,0.3326
g0033.bmp,29361,76234,0.3851
g0034.bmp,73302,99356,0.7378
g0035.bmp,49070,74362,0.6599
g0036.bmp,44840,78125,0.574
g0037.bmp,32424,88273,0.3673
g0038.bmp,46802,80544,0.5811
g0039.bmp,22239,74279,0.2994
g0040.bmp,46412,70734,0.6561
n0001.bmp,25078,102065,0.2457
n0002.bmp,17664,93747,0.1884
n0003.bmp,14325,59098,0.2424
n0004.bmp,9888,47722,0.2072
n0005.bmp,11801,60057,0.1965
n0006.bmp,15007,57792,0.2597
n0007.bmp,10152,56399,0.18
n0008.bmp,14477,55665,0.2601
n0009.bmp,23340,93832,0.2487
n0010.bmp,22275,92827,0.24
n0011.bmp,19501,65698,0.2968
n0012.bmp,13604,62264,0.2185
n0013.bmp,16362,72615,0.2253
n0014.bmp,16908,95676,0.1767
n0015.bmp,23847,86951,0.2743
n0016.bmp,11903,60926,0.1954
n0017.bmp,13706,54245,0.2527
n0018.bmp,16640,71343,0.2332
n0019.bmp,18029,63751,0.2828
n0020.bmp,17163,84919,0.2021
n0021.bmp,19970,81478,0.2451
n0022.bmp,26246,91036,0.2883
n0023.bmp,27487,91846,0.2993
n0024.bmp,16025,66569,0.2407
n0025.bmp,25699,86424,0.2974
n0026.bmp,26918,87522,0.3076
n0027.bmp,24465,95948,0.255
n0028.bmp,17284,60128,0.2875
n0029.bmp,28639,84322,0.3396
n0030.bmp,24914,80328,0.3102
n0031.bmp,15957,73076,0.2184
n0032.bmp,10443,58150,0.1796
n0033.bmp,15400,64833,0.2375
n0034.bmp,13958,63236,0.2207
n0035.bmp,13905,58774,0.2366
n0036.bmp,12400,51223,0.2421
n0037.bmp,15708,57009,0.2755
n0038.bmp,15557,73520,0.2116
n0039.bmp,36667,103902,0.3529
n0040.bmp,16381,69807,0.2347
n0041.bmp,30200,86592,0.3488
n0042.bmp,18412,75781,0.243
n0043.bmp,35462,79908,0.4438
n0044.bmp,23747,78917,0.3009
n0045.bmp,14805,62688,0.2362
n0046.bmp,14589,63788,0.2287
n0047.bmp,15373,70219,0.2189
n0048.bmp,15041,74741,0.2012
n0049.bmp,27534,97073,0.2836
n0050.bmp,30096,95735,0.3144
n0051.bmp,12108,83165,0.1456
n0052.bmp,12474,59516,0.2096
n0053.bmp,19331,75290,0.2568
n0054.bmp,32346,89465,0.3615
n0055.bmp,16878,70554,0.2392
n0056.bmp,16413,79628,0.2061
n0057.bmp,14055,62231,0.2259
n0058.bmp,25405,67593,0.3759
n0059.bmp,17972,66410,0.2706
n0060.bmp,15457,68288,0.2264
n0061.bmp,15133,80199,0.1887
n0062.bmp,14802,82106,0.1803
n0063.bmp,14891,66902,0.2226
n0064.bmp,15050,68277,0.2204
n0065.bmp,14026,70922,0.1978
n0066.bmp,21193,83103,0.255
n0067.bmp,19409,75186,0.2581
n0068.bmp,14669,70743,0.2074
n0069.bmp,12654,67870,0.1864
n0070.bmp,13623,70783,0.1925
n0071.bmp,10420,65044,0.1602
n0072.bmp,20350,88241,0.2306
n0073.bmp,22823,102381,0.2229
n0074.bmp,13007,65071,0.1999
n0075.bmp,14101,63845,0.2209
n0076.bmp,21684,86698,0.2501
n0077.bmp,16886,95184,0.1774
n0078.bmp,15224,63392,0.2402
n0079.bmp,18251,69056,0.2643
n0080.bmp,13191,72492,0.182
n0081.bmp,12150,71968,0.1688
n0082.bmp,9172,51508,0.1781
n0083.bmp,10362,51238,0.2022
n0084.bmp,11630,58036,0.2004
n0085.bmp,14603,73799,0.1979
n0086.bmp,21191,83715,0.2531
n0087.bmp,20517,67749,0.3028
n0088.bmp,13873,67482,0.2056
n0089.bmp,13263,64276,0.2063
n0090.bmp,13409,61911,0.2166
n0091.bmp,14787,72766,0.2032
n0092.bmp,15397,71578,0.2151
n0093.bmp,18615,79572,0.2339
n0094.bmp,16817,87021,0.1933
n0095.bmp,19874,91878,0.2163
n0096.bmp,11056,55859,0.1979
n0097.bmp,9586,48716,0.1968
n0098.bmp,11400,65122,0.1751
n0099.bmp,18208,78371,0.2323
n0100.bmp,16169,70150,0.2305
n0101.bmp,25196,90188,0.2794
n0102.bmp,27924,88585,0.3152
n0103.bmp,19389,82516,0.235
n0104.bmp,22699,81808,0.2775
n0105.bmp,15844,72863,0.2174
n0106.bmp,11963,59752,0.2002
n0107.bmp,12398,62516,0.1983
